prefix,updates,avg_path_len,max_path_len,min_path_len,unique_origins,suspicious
1.248.219.0,1,4.0,4,4,1,False
1.249.108.0,2,3.5,4,3,2,True
1.249.52.0,1,3.0,3,3,1,False
1.249.83.0,1,3.0,3,3,1,False
1.250.154.0,1,3.0,3,3,1,False
1.254.241.0,1,3.0,3,3,1,False
1.255.12.0,1,4.0,4,4,1,False
1.255.3.0,1,4.0,4,4,1,False
1.255.76.0,1,3.0,3,3,1,False
1.4.136.0,1,5.0,5,5,1,False
1.4.140.0,1,5.0,5,5,1,False
1.4.141.0,1,5.0,5,5,1,False
1.4.152.0,1,5.0,5,5,1,False
1.4.158.0,1,5.0,5,5,1,False
1.4.192.0,1,5.0,5,5,1,False
1.4.194.0,1,5.0,5,5,1,False
1.4.195.0,1,5.0,5,5,1,False
1.4.197.0,1,5.0,5,5,1,False
1.4.205.0,1,5.0,5,5,1,False
1.4.207.0,1,5.0,5,5,1,False
1.4.211.0,1,5.0,5,5,1,False
1.4.213.0,1,5.0,5,5,1,False
1.4.214.0,1,5.0,5,5,1,False
1.4.216.0,1,5.0,5,5,1,False
1.4.248.0,1,5.0,5,5,1,False
1.40.0.0,26,5.038461538461538,7,4,1,False
1.42.0.0,16,4.3125,6,4,1,False
1.43.128.0,15,4.333333333333333,6,4,1,False
1.43.192.0,17,4.352941176470588,6,4,1,False
1.51.0.0,1,7.0,7,7,1,False
1.51.144.0,1,7.0,7,7,1,False
1.51.160.0,1,7.0,7,7,1,False
1.51.168.0,1,7.0,7,7,1,False
1.51.176.0,1,7.0,7,7,1,False
1.6.0.0,23,4.3478260869565215,5,3,1,False
1.6.1.0,24,4.375,6,3,1,False
1.6.10.0,25,4.32,5,3,1,False
1.6.100.0,24,4.375,6,3,1,False
1.6.108.0,24,4.375,6,3,1,False
1.6.12.0,26,4.269230769230769,5,3,1,False
1.6.124.0,18,4.333333333333333,5,3,1,False
1.6.128.0,24,4.375,6,3,1,False
1.6.134.0,18,4.333333333333333,5,3,1,False
